partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
141,2003,12,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
142,2003,12,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
142,2003,12,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
143,2003,12,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
143,2003,12,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
145,2003,13,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
145,2003,13,Goias,goias,0,0,,0,,0,0,0,0,0,False
146,2003,13,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
146,2003,13,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
147,2003,13,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
147,2003,13,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
148,2003,13,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
148,2003,13,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
149,2003,13,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
149,2003,13,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
150,2003,13,Parana,parana,0,0,,0,,0,0,0,0,0,False
150,2003,13,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
151,2003,13,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
151,2003,13,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
152,2003,13,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
152,2003,13,Santos,santos,0,0,,0,,0,0,0,0,0,False
153,2003,13,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
153,2003,13,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
154,2003,13,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
154,2003,13,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
155,2003,13,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
155,2003,13,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
156,2003,13,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
156,2003,13,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
157,2003,14,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
157,2003,14,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
158,2003,14,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
158,2003,14,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
159,2003,14,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
159,2003,14,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
160,2003,14,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
160,2003,14,Parana,parana,0,0,,0,,0,0,0,0,0,False
161,2003,14,Goias,goias,0,0,,0,,0,0,0,0,0,False
161,2003,14,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
162,2003,14,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
162,2003,14,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
163,2003,14,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
163,2003,14,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
164,2003,14,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
164,2003,14,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
165,2003,14,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
165,2003,14,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
166,2003,14,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
166,2003,14,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
167,2003,14,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
