partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
62,2022,B,7,Motivo: A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por demonstrar desrespeito ao jogo.,motivo_a1_14_atuar_de_maneira_a_mostrar_desrespeito_ao_jogo_por_demonstrar_desrespeito_ao_jogo,Operário/PR,operario_pr,13,31,0,76,2T,Normal
62,2022,B,7,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Csa/AL,csa_al,29,90,4,94,2T,Normal
63,2022,B,7,Cruzeiro Saf,cruzeiro_saf,Willian Osmar de Oliveira Silva,willian_osmar_de_oliveira_silva,29,38,0,38,1T,Normal
64,2022,B,7,Criciúma,criciuma,Luiz Carlos Marques Lima,luiz_carlos_marques_lima,10,19,0,19,1T,Normal
64,2022,B,7,Criciúma,criciuma,Romulo da Silva Machado,romulo_da_silva_machado,16,12,0,57,2T,Normal
64,2022,B,7,Criciúma,criciuma,Hygor Cleber Garcia Silva,hygor_cleber_garcia_silva,18,31,0,76,2T,Normal
65,2022,B,7,Grêmio,gremio,Diego de Souza Andrade,diego_de_souza_andrade,29,3,0,48,2T,Normal
65,2022,B,7,Ituano,ituano,Lucas Nathan Veloso,lucas_nathan_veloso,19,90,2,92,2T,Normal
66,2022,B,7,Londrina,londrina,Douglas Coutinho Gomes de Souza,douglas_coutinho_gomes_de_souza,17,31,0,31,1T,Normal
66,2022,B,7,Brusque,brusque,Diego Jardel Koester,diego_jardel_koester,10,22,0,67,2T,Penalty
66,2022,B,7,Londrina,londrina,Mauricio Caprini Pinto,mauricio_caprini_pinto,11,29,0,74,2T,Normal
67,2022,B,7,Vasco da Gama,vasco_da_gama,Lucas Figueiredo dos Santos,lucas_figueiredo_dos_santos,15,21,0,21,1T,Normal
68,2022,B,7,Sampaio Corrêa,sampaio_correa,Gabriel Buscariol Poveda,gabriel_buscariol_poveda,9,34,0,34,1T,Normal
68,2022,B,7,Sampaio Corrêa,sampaio_correa,Anderson Wanderllan de Moraes Rodrigues,anderson_wanderllan_de_moraes_rodrigues,11,39,0,84,2T,Normal
69,2022,B,7,Guarani,guarani,Madison Araujo Costa,madison_araujo_costa,98,1,0,1,1T,Normal
69,2022,B,7,Tombense,tombense,Paulo de Souza Junior,paulo_de_souza_junior,7,33,0,33,1T,Penalty
70,2022,B,7,Sport,sport,Luciano Batista da Silva Junior,luciano_batista_da_silva_junior,46,12,0,12,1T,Falta
